workerid,utterance,assignmentid,worktimeinseconds,source_model_name,source_object_class,source_dataset,target_model_name,target_object_class,target_dataset,is_patched,target_uid,source_uid,hard_context,target_original_object_class,source_original_object_class,saliency,tokens,tokens_len,utterance_spelled,target_unary_split,source_unary_split,listening_split,changeit_split,tokens_encoded
user_2026,It does not have arms,33LKR6A5KGDBCX83Z732OF9MQ9E1TH,122,b5350feacacdec9e1a4c9a8c5e7ae925,chair,ShapeNet,part_3_removed_b5350feacacdec9e1a4c9a8c5e7ae925,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_b5350feacacdec9e1a4c9a8c5e7ae925,chair/ShapeNet/b5350feacacdec9e1a4c9a8c5e7ae925,FALSE,chair,chair,1,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2026,It does not have a back cushion,33LKR6A5KGDBCX83Z732OF9MQ9E1TH,122,b5350feacacdec9e1a4c9a8c5e7ae925,chair,ShapeNet,part_0_removed_b5350feacacdec9e1a4c9a8c5e7ae925,chair,ShapeNet,FALSE,segmented_chair/part_0_removed/part_0_removed_b5350feacacdec9e1a4c9a8c5e7ae925,chair/ShapeNet/b5350feacacdec9e1a4c9a8c5e7ae925,FALSE,chair,chair,3,"['it', 'does', 'not', 'have', 'a', 'back', 'cushion']",7,it does not have a back cushion,train,test,train,test,"[1, 23, 39, 40, 84, 26, 183, 2256, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1358,No arms,369J354OFF32EENULDGCKSLE8SPG6S,89,b2f125cba550eb8bfebad4f49b26ec52,chair,ShapeNet,part_3_removed_b2f125cba550eb8bfebad4f49b26ec52,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_b2f125cba550eb8bfebad4f49b26ec52,chair/ShapeNet/b2f125cba550eb8bfebad4f49b26ec52,FALSE,chair,chair,2,"['no', 'arms']",2,no arms,train,test,train,test,"[1, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1712,there is no seat cushion,3R9WASFE219YOOBACY75Z5EWW6AFZ3,88,ae3b4195dfa9779f89e49c5729fd5d6c,chair,ShapeNet,part_1_removed_ae3b4195dfa9779f89e49c5729fd5d6c,chair,ShapeNet,FALSE,segmented_chair/part_1_removed/part_1_removed_ae3b4195dfa9779f89e49c5729fd5d6c,chair/ShapeNet/ae3b4195dfa9779f89e49c5729fd5d6c,FALSE,chair,chair,3,"['there', 'is', 'no', 'seat', 'cushion']",5,there is no seat cushion,train,test,train,test,"[1, 15, 7, 123, 2255, 2256, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_903,It does not have a body,3R08VXYT7EOHF0RZJSPMC97XHSP7WR,41,aa001d69c5b051591736c5c04ed41019,lamp,ShapeNet,part_3_removed_aa001d69c5b051591736c5c04ed41019,lamp,ShapeNet,FALSE,segmented_lamp/part_3_removed/part_3_removed_aa001d69c5b051591736c5c04ed41019,lamp/ShapeNet/aa001d69c5b051591736c5c04ed41019,FALSE,lamp,lamp,2,"['it', 'does', 'not', 'have', 'a', 'body']",6,it does not have a body,train,test,train,test,"[1, 23, 39, 40, 84, 26, 45, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_655,It does not have arms,32XVDSJFP1QEON0F9E247KOZO8NM2B,387,a7d178cd0dc051f25fceaa39a8353bde,chair,ShapeNet,part_3_removed_a7d178cd0dc051f25fceaa39a8353bde,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_a7d178cd0dc051f25fceaa39a8353bde,chair/ShapeNet/a7d178cd0dc051f25fceaa39a8353bde,TRUE,chair,chair,3,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have a shade that is shaped like a football.,3CCZ6YKWR9CRG0082O0X05LQSJI59P,88,a500dac5ab226476b9445129e5607c02,lamp,ShapeNet,part_1_removed_a500dac5ab226476b9445129e5607c02,lamp,ShapeNet,FALSE,segmented_lamp/part_1_removed/part_1_removed_a500dac5ab226476b9445129e5607c02,lamp/ShapeNet/a500dac5ab226476b9445129e5607c02,FALSE,lamp,lamp,0,"['it', 'does', 'not', 'have', 'a', 'shade', 'that', 'is', 'shaped', 'like', 'a', 'football']",12,it does not have a shade that is shaped like a football,val,test,val,test,"[1, 23, 39, 40, 84, 26, 1873, 172, 7, 14, 35, 26, 2060, 2, 0, 0, 0, 0]"
user_428,The target has no armrests.,358010RM5GMYFQXLBVOOK618SDKXV4,70,a374415a1ccc05aa283b00891f680579,chair,ShapeNet,part_3_removed_a374415a1ccc05aa283b00891f680579,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_a374415a1ccc05aa283b00891f680579,chair/ShapeNet/a374415a1ccc05aa283b00891f680579,FALSE,chair,chair,0,"['the', 'target', 'has', 'no', 'armrests']",5,the target has no armrests,val,test,val,test,"[1, 10, 11, 24, 123, 2271, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_618,There are no arms attached to the chair.,3TS1AR6UQS7F4E54T3FM8LLY2SMF7C,148,9dc454ec0b5b7b50e45ef4135c266a12,chair,ShapeNet,part_3_removed_9dc454ec0b5b7b50e45ef4135c266a12,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_9dc454ec0b5b7b50e45ef4135c266a12,chair/ShapeNet/9dc454ec0b5b7b50e45ef4135c266a12,TRUE,chair,chair,0,"['there', 'are', 'no', 'arms', 'attached', 'to', 'the', 'chair']",8,there are no arms attached to the chair,test,test,test,test,"[1, 15, 16, 123, 2232, 115, 58, 10, 2251, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1424,The legs have no feet at the ends,3A9AA95ATYFC8NGFJDWUMVL6DPB5PH,249,9dc454ec0b5b7b50e45ef4135c266a12,chair,ShapeNet,part_2_removed_9dc454ec0b5b7b50e45ef4135c266a12,chair,ShapeNet,FALSE,segmented_chair/part_2_removed/part_2_removed_9dc454ec0b5b7b50e45ef4135c266a12,chair/ShapeNet/9dc454ec0b5b7b50e45ef4135c266a12,TRUE,chair,chair,3,"['the', 'legs', 'have', 'no', 'feet', 'at', 'the', 'ends']",8,the legs have no feet at the ends,train,test,train,test,"[1, 10, 547, 84, 123, 200, 98, 10, 247, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1134,It has no arms,39JEC7537WUACSMQKZS16TGYRLWVCG,50,9ca1c0357c3033488cc413950b617e8f,chair,ShapeNet,part_3_removed_9ca1c0357c3033488cc413950b617e8f,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_9ca1c0357c3033488cc413950b617e8f,chair/ShapeNet/9ca1c0357c3033488cc413950b617e8f,FALSE,chair,chair,2,"['it', 'has', 'no', 'arms']",4,it has no arms,train,test,train,test,"[1, 23, 24, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2001,The target does not have legs,3H0W84IWBMVXGJPN76TMVKRXB3NRE9,24,9c3c8db3c4b29c8e7bcb070cc655f13a,lamp,ShapeNet,part_0_removed_9c3c8db3c4b29c8e7bcb070cc655f13a,lamp,ShapeNet,FALSE,segmented_lamp/part_0_removed/part_0_removed_9c3c8db3c4b29c8e7bcb070cc655f13a,lamp/ShapeNet/9c3c8db3c4b29c8e7bcb070cc655f13a,FALSE,lamp,lamp,0,"['the', 'target', 'does', 'not', 'have', 'legs']",6,the target does not have legs,train,test,train,test,"[1, 10, 11, 39, 40, 84, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1191,The target has no arms.,3KYQYYSHYX0PR0J7JJ1YV748GUKODK,97,9b9a114cfee79bfb492d9da2668ec34c,chair,ShapeNet,part_3_removed_9b9a114cfee79bfb492d9da2668ec34c,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_9b9a114cfee79bfb492d9da2668ec34c,chair/ShapeNet/9b9a114cfee79bfb492d9da2668ec34c,FALSE,chair,chair,3,"['the', 'target', 'has', 'no', 'arms']",5,the target has no arms,train,test,train,test,"[1, 10, 11, 24, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_379,There are no arm rests.,3QBD8R3Z23CCR40EQ805S3A23RMO4M,45,9a864d5de972a8c7cb686b8b855fed61,chair,ShapeNet,part_3_removed_9a864d5de972a8c7cb686b8b855fed61,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_9a864d5de972a8c7cb686b8b855fed61,chair/ShapeNet/9a864d5de972a8c7cb686b8b855fed61,FALSE,chair,chair,4,"['there', 'are', 'no', 'arm', 'rests']",5,there are no arm rests,train,test,train,test,"[1, 15, 16, 123, 517, 540, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_591,There are no armrests,324G5B4FB51O7AQEQLW15EYUWMN07B,104,99d4e65625b32a1d151f08387c3363cb,chair,ShapeNet,part_3_removed_99d4e65625b32a1d151f08387c3363cb,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_99d4e65625b32a1d151f08387c3363cb,chair/ShapeNet/99d4e65625b32a1d151f08387c3363cb,FALSE,chair,chair,0,"['there', 'are', 'no', 'armrests']",4,there are no armrests,train,test,train,test,"[1, 15, 16, 123, 2271, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2026,It does not have legs,3H8DHMCCWB4619YSLR95OQNZWTAKD4,112,98547d9147a58195f51f77a6d7299806,chair,ShapeNet,part_2_removed_98547d9147a58195f51f77a6d7299806,chair,ShapeNet,FALSE,segmented_chair/part_2_removed/part_2_removed_98547d9147a58195f51f77a6d7299806,chair/ShapeNet/98547d9147a58195f51f77a6d7299806,TRUE,chair,chair,0,"['it', 'does', 'not', 'have', 'legs']",5,it does not have legs,train,test,train,test,"[1, 23, 39, 40, 84, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2026,It does not have a back cushion,3H8DHMCCWB4619YSLR95OQNZWTAKD4,112,98547d9147a58195f51f77a6d7299806,chair,ShapeNet,part_0_removed_98547d9147a58195f51f77a6d7299806,chair,ShapeNet,FALSE,segmented_chair/part_0_removed/part_0_removed_98547d9147a58195f51f77a6d7299806,chair/ShapeNet/98547d9147a58195f51f77a6d7299806,TRUE,chair,chair,4,"['it', 'does', 'not', 'have', 'a', 'back', 'cushion']",7,it does not have a back cushion,train,test,train,test,"[1, 23, 39, 40, 84, 26, 183, 2256, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1712,it does not have arms,3D8YOU6S9GDLJWOP5I5TO7M5HXN6UV,94,94c8b873c9214a726e18d8b0769ce75d,chair,ShapeNet,part_3_removed_94c8b873c9214a726e18d8b0769ce75d,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_94c8b873c9214a726e18d8b0769ce75d,chair/ShapeNet/94c8b873c9214a726e18d8b0769ce75d,FALSE,chair,chair,1,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_491,The target does not have arms.,3FE2ERCCZZ1YGXMXOSSTV1LXUHPPO9,436,928678562a6a57db698a862d11861eaa,chair,ShapeNet,part_3_removed_928678562a6a57db698a862d11861eaa,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_928678562a6a57db698a862d11861eaa,chair/ShapeNet/928678562a6a57db698a862d11861eaa,FALSE,chair,chair,4,"['the', 'target', 'does', 'not', 'have', 'arms']",6,the target does not have arms,test,test,test,test,"[1, 10, 11, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1200,There are no arm rests.,3OLQQLKKNUIGIV6AZ1KDTT57HIHEJ2,60,9233077bbe6926c239465fa20b0ba7fb,chair,ShapeNet,part_3_removed_9233077bbe6926c239465fa20b0ba7fb,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_9233077bbe6926c239465fa20b0ba7fb,chair/ShapeNet/9233077bbe6926c239465fa20b0ba7fb,FALSE,chair,chair,1,"['there', 'are', 'no', 'arm', 'rests']",5,there are no arm rests,train,test,train,test,"[1, 15, 16, 123, 517, 540, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1864,there are no arm rests,3LJ7UR74RJ6U9J02PT0SDEAXD6S4NC,42,920af478601258e24762da3a3017ade,chair,ShapeNet,part_3_removed_920af478601258e24762da3a3017ade,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_920af478601258e24762da3a3017ade,chair/ShapeNet/920af478601258e24762da3a3017ade,FALSE,chair,chair,2,"['there', 'are', 'no', 'arm', 'rests']",5,there are no arm rests,test,test,test,test,"[1, 15, 16, 123, 517, 540, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_491,The target does not have arms.,3P4RDNWND7ZSY08WVKA4E83Z99FJI3,129,8ec3459ab9fa3ce8738e43095496b061,chair,ShapeNet,part_3_removed_8ec3459ab9fa3ce8738e43095496b061,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_8ec3459ab9fa3ce8738e43095496b061,chair/ShapeNet/8ec3459ab9fa3ce8738e43095496b061,FALSE,chair,chair,3,"['the', 'target', 'does', 'not', 'have', 'arms']",6,the target does not have arms,train,test,train,test,"[1, 10, 11, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1644,The chair does not have arms.,32KTQ2V7RF8PO7LEUNHJH7WDUDM9MD,46,8e853d5bb145c11486c701087a194026,chair,ShapeNet,part_3_removed_8e853d5bb145c11486c701087a194026,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_8e853d5bb145c11486c701087a194026,chair/ShapeNet/8e853d5bb145c11486c701087a194026,FALSE,chair,chair,0,"['the', 'chair', 'does', 'not', 'have', 'arms']",6,the chair does not have arms,train,test,train,test,"[1, 10, 2251, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_571,It has no arms,339ANSOTR7VN9KEED5AGFN3COTWKIA,67,8ad1db95b5b9d60136d9cfd13835101,chair,ShapeNet,part_3_removed_8ad1db95b5b9d60136d9cfd13835101,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_8ad1db95b5b9d60136d9cfd13835101,chair/ShapeNet/8ad1db95b5b9d60136d9cfd13835101,FALSE,chair,chair,1,"['it', 'has', 'no', 'arms']",4,it has no arms,train,test,train,test,"[1, 23, 24, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_2063,There are no arms visible,3OB0CAO74JIIXUSBB2TMOJH8M3BYHR,82,8abd5158ec94dfd8924bf081da6f024c,chair,ShapeNet,part_3_removed_8abd5158ec94dfd8924bf081da6f024c,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_8abd5158ec94dfd8924bf081da6f024c,chair/ShapeNet/8abd5158ec94dfd8924bf081da6f024c,FALSE,chair,chair,2,"['there', 'are', 'no', 'arms', 'visible']",5,there are no arms visible,train,test,train,test,"[1, 15, 16, 123, 2232, 185, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1135,The target chair has no arms.,3OS4RQUCRB826Q8U6KR2DN7ULB4FBB,128,885bc048615523273eec26c23f5bc80b,chair,ShapeNet,part_3_removed_885bc048615523273eec26c23f5bc80b,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_885bc048615523273eec26c23f5bc80b,chair/ShapeNet/885bc048615523273eec26c23f5bc80b,FALSE,chair,chair,0,"['the', 'target', 'chair', 'has', 'no', 'arms']",6,the target chair has no arms,train,test,train,test,"[1, 10, 11, 2251, 24, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1572,There are no feet on the legs of the chair.,37TD41K0AJ2UK05MQ4NWV6WRSN4CS6,85,86fda548f0fde39328f80188b7c24dcb,chair,ShapeNet,part_2_removed_86fda548f0fde39328f80188b7c24dcb,chair,ShapeNet,FALSE,segmented_chair/part_2_removed/part_2_removed_86fda548f0fde39328f80188b7c24dcb,chair/ShapeNet/86fda548f0fde39328f80188b7c24dcb,FALSE,chair,chair,1,"['there', 'are', 'no', 'feet', 'on', 'the', 'legs', 'of', 'the', 'chair']",10,there are no feet on the legs of the chair,train,test,train,test,"[1, 15, 16, 123, 200, 20, 10, 547, 38, 10, 2251, 2, 0, 0, 0, 0, 0, 0]"
user_1885,it has no arms,3F6KKYWMNDU79FJVI41LGI43QTRNDY,330,86fda548f0fde39328f80188b7c24dcb,chair,ShapeNet,part_3_removed_86fda548f0fde39328f80188b7c24dcb,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_86fda548f0fde39328f80188b7c24dcb,chair/ShapeNet/86fda548f0fde39328f80188b7c24dcb,TRUE,chair,chair,1,"['it', 'has', 'no', 'arms']",4,it has no arms,train,test,train,test,"[1, 23, 24, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1572,There are no arms.,37TD41K0AJ2UK05MQ4NWV6WRSN4CS6,85,86fda548f0fde39328f80188b7c24dcb,chair,ShapeNet,part_3_removed_86fda548f0fde39328f80188b7c24dcb,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_86fda548f0fde39328f80188b7c24dcb,chair/ShapeNet/86fda548f0fde39328f80188b7c24dcb,FALSE,chair,chair,3,"['there', 'are', 'no', 'arms']",4,there are no arms,train,test,train,test,"[1, 15, 16, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have a backplate.,3U088ZLJVMM3XPRFYT4DXUXA9EHW0E,56,86f8f2c064c79e6cb0c0d433974e32b,lamp,ShapeNet,part_2_removed_86f8f2c064c79e6cb0c0d433974e32b,lamp,ShapeNet,FALSE,segmented_lamp/part_2_removed/part_2_removed_86f8f2c064c79e6cb0c0d433974e32b,lamp/ShapeNet/86f8f2c064c79e6cb0c0d433974e32b,FALSE,lamp,lamp,2,"['it', 'does', 'not', 'have', 'a', 'backplate']",6,it does not have a backplate,train,test,train,test,"[1, 23, 39, 40, 84, 26, 4356, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have legs.,3YOH7BII0B0SVQYECC9ZUCT6WWEVK6,158,8617fc907ff8cb36597976c675750537,chair,ShapeNet,part_2_removed_8617fc907ff8cb36597976c675750537,chair,ShapeNet,FALSE,segmented_chair/part_2_removed/part_2_removed_8617fc907ff8cb36597976c675750537,chair/ShapeNet/8617fc907ff8cb36597976c675750537,FALSE,chair,chair,0,"['it', 'does', 'not', 'have', 'legs']",5,it does not have legs,train,test,train,test,"[1, 23, 39, 40, 84, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have arms.,3YOH7BII0B0SVQYECC9ZUCT6WWEVK6,158,8617fc907ff8cb36597976c675750537,chair,ShapeNet,part_3_removed_8617fc907ff8cb36597976c675750537,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_8617fc907ff8cb36597976c675750537,chair/ShapeNet/8617fc907ff8cb36597976c675750537,FALSE,chair,chair,1,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1791,the target does not have a base for wall mounting,3J88R45B2IRLA60PPJFPEECQW3SXPA,74,85e79f31c24f878cef3a2c64cef919d0,lamp,ShapeNet,part_0_removed_85e79f31c24f878cef3a2c64cef919d0,lamp,ShapeNet,FALSE,segmented_lamp/part_0_removed/part_0_removed_85e79f31c24f878cef3a2c64cef919d0,lamp/ShapeNet/85e79f31c24f878cef3a2c64cef919d0,TRUE,lamp,lamp,0,"['the', 'target', 'does', 'not', 'have', 'a', 'base', 'for', 'wall', 'mounting']",10,the target does not have a base for wall mounting,train,test,train,test,"[1, 10, 11, 39, 40, 84, 26, 103, 259, 108, 2242, 2, 0, 0, 0, 0, 0, 0]"
user_923,It has no feet,32N49TQG3IBMJDPS0LWA0YQARQQVA9,107,850b424d90dbc66f4d68bade576979ab,chair,ShapeNet,part_2_removed_850b424d90dbc66f4d68bade576979ab,chair,ShapeNet,FALSE,segmented_chair/part_2_removed/part_2_removed_850b424d90dbc66f4d68bade576979ab,chair/ShapeNet/850b424d90dbc66f4d68bade576979ab,FALSE,chair,chair,2,"['it', 'has', 'no', 'feet']",4,it has no feet,train,test,train,test,"[1, 23, 24, 123, 200, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_203,It does not have a base.,3OCHAWUVGQDKZF39CRAHIXQQWFDXK0,64,7d097f4b38f0a8a65b6c7da997b0e5e3,lamp,ShapeNet,part_0_removed_7d097f4b38f0a8a65b6c7da997b0e5e3,lamp,ShapeNet,FALSE,segmented_lamp/part_0_removed/part_0_removed_7d097f4b38f0a8a65b6c7da997b0e5e3,lamp/ShapeNet/7d097f4b38f0a8a65b6c7da997b0e5e3,FALSE,lamp,lamp,1,"['it', 'does', 'not', 'have', 'a', 'base']",6,it does not have a base,val,test,val,test,"[1, 23, 39, 40, 84, 26, 103, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_618,There are no arms attached to the chair.,3DYGAII7PN1119ZD35KXK6GX9O9PQV,271,7ae6518311bf2f66e1a0327ca4c4d5a5,chair,ShapeNet,part_3_removed_7ae6518311bf2f66e1a0327ca4c4d5a5,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_7ae6518311bf2f66e1a0327ca4c4d5a5,chair/ShapeNet/7ae6518311bf2f66e1a0327ca4c4d5a5,FALSE,chair,chair,3,"['there', 'are', 'no', 'arms', 'attached', 'to', 'the', 'chair']",8,there are no arms attached to the chair,train,test,train,test,"[1, 15, 16, 123, 2232, 115, 58, 10, 2251, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
user_678,The target does not have arms.,3C6FJU71TSMN2GYVB10L7Y6YG4OUYL,201,7910a6262ad8fc113fa02fd212ba0e5f,chair,ShapeNet,part_3_removed_7910a6262ad8fc113fa02fd212ba0e5f,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_7910a6262ad8fc113fa02fd212ba0e5f,chair/ShapeNet/7910a6262ad8fc113fa02fd212ba0e5f,FALSE,chair,chair,0,"['the', 'target', 'does', 'not', 'have', 'arms']",6,the target does not have arms,train,test,train,test,"[1, 10, 11, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_279,It does not have a shade over it's bulbs,3LWJHTCVCEFPAWAJP2OS8C2SRJAQF1,118,78a11c0b8e964c9b41657e31b569b105,lamp,ShapeNet,part_1_removed_78a11c0b8e964c9b41657e31b569b105,lamp,ShapeNet,FALSE,segmented_lamp/part_1_removed/part_1_removed_78a11c0b8e964c9b41657e31b569b105,lamp/ShapeNet/78a11c0b8e964c9b41657e31b569b105,FALSE,lamp,lamp,1,"['it', 'does', 'not', 'have', 'a', 'shade', 'over', 'it', 'is', 'bulbs']",10,it does not have a shade over it is bulbs,train,test,train,test,"[1, 23, 39, 40, 84, 26, 1873, 267, 23, 7, 403, 2, 0, 0, 0, 0, 0, 0]"
user_1111,The seat does not have a back.,3SKEMFQBZ5YUKE214JYP2Y9YL4ZK8O,128,75d28a98c151cbe678d2ffcbbc0020d,chair,ShapeNet,part_0_removed_75d28a98c151cbe678d2ffcbbc0020d,chair,ShapeNet,FALSE,segmented_chair/part_0_removed/part_0_removed_75d28a98c151cbe678d2ffcbbc0020d,chair/ShapeNet/75d28a98c151cbe678d2ffcbbc0020d,TRUE,chair,chair,0,"['the', 'seat', 'does', 'not', 'have', 'a', 'back']",7,the seat does not have a back,test,test,test,test,"[1, 10, 2255, 39, 40, 84, 26, 183, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_948,It does not have arms,3A7Y0R2P2QHPOVXRU6A5HIQEXPMJXC,125,740cc6d4d1c6901eadb91c074e672e22,chair,ShapeNet,part_3_removed_740cc6d4d1c6901eadb91c074e672e22,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_740cc6d4d1c6901eadb91c074e672e22,chair/ShapeNet/740cc6d4d1c6901eadb91c074e672e22,TRUE,chair,chair,0,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,train,test,train,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_618,This chair does not have arms.,3ZOTGHDK5K4VTP2PG9WNQ6Q8HZ3OSR,227,7275cb0572b1c0042725cbc5586c6d7b,chair,ShapeNet,part_3_removed_7275cb0572b1c0042725cbc5586c6d7b,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_7275cb0572b1c0042725cbc5586c6d7b,chair/ShapeNet/7275cb0572b1c0042725cbc5586c6d7b,TRUE,chair,chair,1,"['this', 'chair', 'does', 'not', 'have', 'arms']",6,this chair does not have arms,train,test,train,test,"[1, 301, 2251, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_1644,It has no arms.,3PZDLQMM0VE1F1OOWP8Q4OJNUW3C27,39,6d4ce042f204e89db413bc67c6e4035a,chair,ShapeNet,part_3_removed_6d4ce042f204e89db413bc67c6e4035a,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_6d4ce042f204e89db413bc67c6e4035a,chair/ShapeNet/6d4ce042f204e89db413bc67c6e4035a,FALSE,chair,chair,4,"['it', 'has', 'no', 'arms']",4,it has no arms,train,test,train,test,"[1, 23, 24, 123, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_948,It does not have arms,39GAF6DQWTTQPPCS423HPXX7NW31VA,57,6cf6140483ba1b347b11ae648ea92233,chair,ShapeNet,part_3_removed_6cf6140483ba1b347b11ae648ea92233,chair,ShapeNet,FALSE,segmented_chair/part_3_removed/part_3_removed_6cf6140483ba1b347b11ae648ea92233,chair/ShapeNet/6cf6140483ba1b347b11ae648ea92233,FALSE,chair,chair,0,"['it', 'does', 'not', 'have', 'arms']",5,it does not have arms,test,test,test,test,"[1, 23, 39, 40, 84, 2232, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
user_948,It does not have legs,39GAF6DQWTTQPPCS423HPXX7NW31VA,57,6cf6140483ba1b347b11ae648ea92233,chair,ShapeNet,part_2_removed_6cf6140483ba1b347b11ae648ea92233,chair,ShapeNet,FALSE,segmented_chair/part_2_removed/part_2_removed_6cf6140483ba1b347b11ae648ea92233,chair/ShapeNet/6cf6140483ba1b347b11ae648ea92233,FALSE,chair,chair,1,"['it', 'does', 'not', 'have', 'legs']",5,it does not have legs,test,test,test,test,"[1, 23, 39, 40, 84, 547, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
